segment_id,split_label,anomaly_label,domain_shift_op,domain_shift_env,imp23absu_mic,ism330dhcx_acc,ism330dhcx_gyro
20240423_13_23_35_segment_0,Normal_Source_Train,normal,spd1600,BckgD,imp23absu_mic_20240423_13_23_35_DataLog_0.parquet,ism330dhcx_acc_20240423_13_23_35_DataLog_0.parquet,ism330dhcx_gyro_20240423_13_23_35_DataLog_0.parquet
20240423_15_09_44_segment_0,Normal_Source_Train,normal,spd2000,BckgA,imp23absu_mic_20240423_15_09_44_DataLog_0.parquet,ism330dhcx_acc_20240423_15_09_44_DataLog_0.parquet,ism330dhcx_gyro_20240423_15_09_44_DataLog_0.parquet
20240423_13_23_15_segment_0,Normal_Source_Train,normal,spd1600,BckgC,imp23absu_mic_20240423_13_23_15_DataLog_0.parquet,ism330dhcx_acc_20240423_13_23_15_DataLog_0.parquet,ism330dhcx_gyro_20240423_13_23_15_DataLog_0.parquet
20240423_13_27_22_segment_0,Normal_Source_Train,normal,spd1600,BckgC,imp23absu_mic_20240423_13_27_22_DataLog_0.parquet,ism330dhcx_acc_20240423_13_27_22_DataLog_0.parquet,ism330dhcx_gyro_20240423_13_27_22_DataLog_0.parquet
20240423_15_19_06_segment_0,Normal_Source_Train,normal,spd2000,BckgD,imp23absu_mic_20240423_15_19_06_DataLog_0.parquet,ism330dhcx_acc_20240423_15_19_06_DataLog_0.parquet,ism330dhcx_gyro_20240423_15_19_06_DataLog_0.parquet
20240423_13_18_29_segment_0,Normal_Source_Train,normal,spd1600,BckgD,imp23absu_mic_20240423_13_18_29_DataLog_0.parquet,ism330dhcx_acc_20240423_13_18_29_DataLog_0.parquet,ism330dhcx_gyro_20240423_13_18_29_DataLog_0.parquet
20240423_15_40_50_segment_0,Normal_Source_Train,normal,spd2400,BckgF,imp23absu_mic_20240423_15_40_50_DataLog_0.parquet,ism330dhcx_acc_20240423_15_40_50_DataLog_0.parquet,ism330dhcx_gyro_20240423_15_40_50_DataLog_0.parquet
20240423_14_36_34_segment_0,Normal_Source_Train,normal,spd1900,BckgF,imp23absu_mic_20240423_14_36_34_DataLog_0.parquet,ism330dhcx_acc_20240423_14_36_34_DataLog_0.parquet,ism330dhcx_gyro_20240423_14_36_34_DataLog_0.parquet
20240423_15_51_50_segment_0,Normal_Source_Train,normal,spd2800,BckgD,imp23absu_mic_20240423_15_51_50_DataLog_0.parquet,ism330dhcx_acc_20240423_15_51_50_DataLog_0.parquet,ism330dhcx_gyro_20240423_15_51_50_DataLog_0.parquet
20240423_13_30_29_segment_0,Normal_Source_Train,normal,spd1600,BckgC,imp23absu_mic_20240423_13_30_29_DataLog_0.parquet,ism330dhcx_acc_20240423_13_30_29_DataLog_0.parquet,ism330dhcx_gyro_20240423_13_30_29_DataLog_0.parquet
20240423_13_42_34_segment_0,Normal_Source_Train,normal,spd1700,BckgD,imp23absu_mic_20240423_13_42_34_DataLog_0.parquet,ism330dhcx_acc_20240423_13_42_34_DataLog_0.parquet,ism330dhcx_gyro_20240423_13_42_34_DataLog_0.parquet
20240423_13_42_54_segment_0,Normal_Source_Train,normal,spd1700,BckgA,imp23absu_mic_20240423_13_42_54_DataLog_0.parquet,ism330dhcx_acc_20240423_13_42_54_DataLog_0.parquet,ism330dhcx_gyro_20240423_13_42_54_DataLog_0.parquet
20240423_13_37_08_segment_0,Normal_Source_Train,normal,spd1700,BckgA,imp23absu_mic_20240423_13_37_08_DataLog_0.parquet,ism330dhcx_acc_20240423_13_37_08_DataLog_0.parquet,ism330dhcx_gyro_20240423_13_37_08_DataLog_0.parquet
20240423_15_07_19_segment_0,Normal_Source_Train,normal,spd2000,BckgF,imp23absu_mic_20240423_15_07_19_DataLog_0.parquet,ism330dhcx_acc_20240423_15_07_19_DataLog_0.parquet,ism330dhcx_gyro_20240423_15_07_19_DataLog_0.parquet
20240423_13_16_21_segment_0,Normal_Source_Train,normal,spd1600,BckgC,imp23absu_mic_20240423_13_16_21_DataLog_0.parquet,ism330dhcx_acc_20240423_13_16_21_DataLog_0.parquet,ism330dhcx_gyro_20240423_13_16_21_DataLog_0.parquet
20240423_14_30_27_segment_0,Normal_Source_Train,normal,spd1900,BckgF,imp23absu_mic_20240423_14_30_27_DataLog_0.parquet,ism330dhcx_acc_20240423_14_30_27_DataLog_0.parquet,ism330dhcx_gyro_20240423_14_30_27_DataLog_0.parquet
20240423_13_28_41_segment_0,Normal_Source_Train,normal,spd1600,BckgF,imp23absu_mic_20240423_13_28_41_DataLog_0.parquet,ism330dhcx_acc_20240423_13_28_41_DataLog_0.parquet,ism330dhcx_gyro_20240423_13_28_41_DataLog_0.parquet
20240423_15_39_40_segment_0,Normal_Source_Train,normal,spd2400,BckgD,imp23absu_mic_20240423_15_39_40_DataLog_0.parquet,ism330dhcx_acc_20240423_15_39_40_DataLog_0.parquet,ism330dhcx_gyro_20240423_15_39_40_DataLog_0.parquet
20240423_13_54_40_segment_0,Normal_Source_Train,normal,spd1700,BckgA,imp23absu_mic_20240423_13_54_40_DataLog_0.parquet,ism330dhcx_acc_20240423_13_54_40_DataLog_0.parquet,ism330dhcx_gyro_20240423_13_54_40_DataLog_0.parquet
20240423_13_16_50_segment_0,Normal_Source_Train,normal,spd1600,BckgC,imp23absu_mic_20240423_13_16_50_DataLog_0.parquet,ism330dhcx_acc_20240423_13_16_50_DataLog_0.parquet,ism330dhcx_gyro_20240423_13_16_50_DataLog_0.parquet
20240423_13_07_27_segment_0,Normal_Source_Train,normal,spd1600,BckgD,imp23absu_mic_20240423_13_07_27_DataLog_0.parquet,ism330dhcx_acc_20240423_13_07_27_DataLog_0.parquet,ism330dhcx_gyro_20240423_13_07_27_DataLog_0.parquet
20240423_14_46_59_segment_0,Normal_Source_Train,normal,spd1900,BckgC,imp23absu_mic_20240423_14_46_59_DataLog_0.parquet,ism330dhcx_acc_20240423_14_46_59_DataLog_0.parquet,ism330dhcx_gyro_20240423_14_46_59_DataLog_0.parquet
20240423_16_09_28_segment_0,Normal_Source_Train,normal,spd2800,BckgA,imp23absu_mic_20240423_16_09_28_DataLog_0.parquet,ism330dhcx_acc_20240423_16_09_28_DataLog_0.parquet,ism330dhcx_gyro_20240423_16_09_28_DataLog_0.parquet
20240423_15_16_11_segment_0,Normal_Source_Train,normal,spd2000,BckgD,imp23absu_mic_20240423_15_16_11_DataLog_0.parquet,ism330dhcx_acc_20240423_15_16_11_DataLog_0.parquet,ism330dhcx_gyro_20240423_15_16_11_DataLog_0.parquet
20240423_16_05_15_segment_0,Normal_Source_Train,normal,spd2800,BckgC,imp23absu_mic_20240423_16_05_15_DataLog_0.parquet,ism330dhcx_acc_20240423_16_05_15_DataLog_0.parquet,ism330dhcx_gyro_20240423_16_05_15_DataLog_0.parquet
20240423_15_08_56_segment_0,Normal_Source_Train,normal,spd2000,BckgD,imp23absu_mic_20240423_15_08_56_DataLog_0.parquet,ism330dhcx_acc_20240423_15_08_56_DataLog_0.parquet,ism330dhcx_gyro_20240423_15_08_56_DataLog_0.parquet
20240423_15_00_12_segment_0,Normal_Source_Train,normal,spd2000,BckgC,imp23absu_mic_20240423_15_00_12_DataLog_0.parquet,ism330dhcx_acc_20240423_15_00_12_DataLog_0.parquet,ism330dhcx_gyro_20240423_15_00_12_DataLog_0.parquet
20240423_15_16_02_segment_0,Normal_Source_Train,normal,spd2000,BckgA,imp23absu_mic_20240423_15_16_02_DataLog_0.parquet,ism330dhcx_acc_20240423_15_16_02_DataLog_0.parquet,ism330dhcx_gyro_20240423_15_16_02_DataLog_0.parquet
20240423_12_47_09_segment_0,Normal_Source_Train,normal,spd1500,BckgD,imp23absu_mic_20240423_12_47_09_DataLog_0.parquet,ism330dhcx_acc_20240423_12_47_09_DataLog_0.parquet,ism330dhcx_gyro_20240423_12_47_09_DataLog_0.parquet
20240423_13_08_36_segment_0,Normal_Source_Train,normal,spd1600,BckgC,imp23absu_mic_20240423_13_08_36_DataLog_0.parquet,ism330dhcx_acc_20240423_13_08_36_DataLog_0.parquet,ism330dhcx_gyro_20240423_13_08_36_DataLog_0.parquet
20240423_15_38_01_segment_0,Normal_Source_Train,normal,spd2400,BckgA,imp23absu_mic_20240423_15_38_01_DataLog_0.parquet,ism330dhcx_acc_20240423_15_38_01_DataLog_0.parquet,ism330dhcx_gyro_20240423_15_38_01_DataLog_0.parquet
20240423_13_49_22_segment_0,Normal_Source_Train,normal,spd1700,BckgA,imp23absu_mic_20240423_13_49_22_DataLog_0.parquet,ism330dhcx_acc_20240423_13_49_22_DataLog_0.parquet,ism330dhcx_gyro_20240423_13_49_22_DataLog_0.parquet
20240423_16_33_54_segment_0,Normal_Source_Train,normal,spd3000,BckgF,imp23absu_mic_20240423_16_33_54_DataLog_0.parquet,ism330dhcx_acc_20240423_16_33_54_DataLog_0.parquet,ism330dhcx_gyro_20240423_16_33_54_DataLog_0.parquet
20240423_14_45_00_segment_0,Normal_Source_Train,normal,spd1900,BckgC,imp23absu_mic_20240423_14_45_00_DataLog_0.parquet,ism330dhcx_acc_20240423_14_45_00_DataLog_0.parquet,ism330dhcx_gyro_20240423_14_45_00_DataLog_0.parquet
20240423_13_15_51_segment_0,Normal_Source_Train,normal,spd1600,BckgD,imp23absu_mic_20240423_13_15_51_DataLog_0.parquet,ism330dhcx_acc_20240423_13_15_51_DataLog_0.parquet,ism330dhcx_gyro_20240423_13_15_51_DataLog_0.parquet
20240423_15_18_56_segment_0,Normal_Source_Train,normal,spd2000,BckgC,imp23absu_mic_20240423_15_18_56_DataLog_0.parquet,ism330dhcx_acc_20240423_15_18_56_DataLog_0.parquet,ism330dhcx_gyro_20240423_15_18_56_DataLog_0.parquet
20240423_16_40_21_segment_0,Normal_Source_Train,normal,spd3000,BckgA,imp23absu_mic_20240423_16_40_21_DataLog_0.parquet,ism330dhcx_acc_20240423_16_40_21_DataLog_0.parquet,ism330dhcx_gyro_20240423_16_40_21_DataLog_0.parquet
20240423_13_12_24_segment_0,Normal_Source_Train,normal,spd1600,BckgD,imp23absu_mic_20240423_13_12_24_DataLog_0.parquet,ism330dhcx_acc_20240423_13_12_24_DataLog_0.parquet,ism330dhcx_gyro_20240423_13_12_24_DataLog_0.parquet
20240423_13_52_01_segment_0,Normal_Source_Train,normal,spd1700,BckgA,imp23absu_mic_20240423_13_52_01_DataLog_0.parquet,ism330dhcx_acc_20240423_13_52_01_DataLog_0.parquet,ism330dhcx_gyro_20240423_13_52_01_DataLog_0.parquet
20240423_15_56_42_segment_0,Normal_Source_Train,normal,spd2800,BckgA,imp23absu_mic_20240423_15_56_42_DataLog_0.parquet,ism330dhcx_acc_20240423_15_56_42_DataLog_0.parquet,ism330dhcx_gyro_20240423_15_56_42_DataLog_0.parquet
20240423_12_55_03_segment_0,Normal_Source_Train,normal,spd1500,BckgA,imp23absu_mic_20240423_12_55_03_DataLog_0.parquet,ism330dhcx_acc_20240423_12_55_03_DataLog_0.parquet,ism330dhcx_gyro_20240423_12_55_03_DataLog_0.parquet
20240423_15_41_59_segment_0,Normal_Source_Train,normal,spd2400,BckgA,imp23absu_mic_20240423_15_41_59_DataLog_0.parquet,ism330dhcx_acc_20240423_15_41_59_DataLog_0.parquet,ism330dhcx_gyro_20240423_15_41_59_DataLog_0.parquet
20240423_14_10_03_segment_0,Normal_Source_Train,normal,spd1800,BckgF,imp23absu_mic_20240423_14_10_03_DataLog_0.parquet,ism330dhcx_acc_20240423_14_10_03_DataLog_0.parquet,ism330dhcx_gyro_20240423_14_10_03_DataLog_0.parquet
20240423_13_02_08_segment_0,Normal_Source_Train,normal,spd1500,BckgA,imp23absu_mic_20240423_13_02_08_DataLog_0.parquet,ism330dhcx_acc_20240423_13_02_08_DataLog_0.parquet,ism330dhcx_gyro_20240423_13_02_08_DataLog_0.parquet
20240423_15_17_00_segment_0,Normal_Source_Train,normal,spd2000,BckgF,imp23absu_mic_20240423_15_17_00_DataLog_0.parquet,ism330dhcx_acc_20240423_15_17_00_DataLog_0.parquet,ism330dhcx_gyro_20240423_15_17_00_DataLog_0.parquet
20240423_13_51_31_segment_0,Normal_Source_Train,normal,spd1700,BckgC,imp23absu_mic_20240423_13_51_31_DataLog_0.parquet,ism330dhcx_acc_20240423_13_51_31_DataLog_0.parquet,ism330dhcx_gyro_20240423_13_51_31_DataLog_0.parquet
20240423_14_14_22_segment_0,Normal_Source_Train,normal,spd1800,BckgD,imp23absu_mic_20240423_14_14_22_DataLog_0.parquet,ism330dhcx_acc_20240423_14_14_22_DataLog_0.parquet,ism330dhcx_gyro_20240423_14_14_22_DataLog_0.parquet
20240423_13_45_34_segment_0,Normal_Source_Train,normal,spd1700,BckgC,imp23absu_mic_20240423_13_45_34_DataLog_0.parquet,ism330dhcx_acc_20240423_13_45_34_DataLog_0.parquet,ism330dhcx_gyro_20240423_13_45_34_DataLog_0.parquet
20240423_15_05_32_segment_0,Normal_Source_Train,normal,spd2000,BckgA,imp23absu_mic_20240423_15_05_32_DataLog_0.parquet,ism330dhcx_acc_20240423_15_05_32_DataLog_0.parquet,ism330dhcx_gyro_20240423_15_05_32_DataLog_0.parquet
20240423_15_44_58_segment_0,Normal_Source_Train,normal,spd2400,BckgC,imp23absu_mic_20240423_15_44_58_DataLog_0.parquet,ism330dhcx_acc_20240423_15_44_58_DataLog_0.parquet,ism330dhcx_gyro_20240423_15_44_58_DataLog_0.parquet
20240423_15_28_27_segment_0,Normal_Source_Train,normal,spd2400,BckgD,imp23absu_mic_20240423_15_28_27_DataLog_0.parquet,ism330dhcx_acc_20240423_15_28_27_DataLog_0.parquet,ism330dhcx_gyro_20240423_15_28_27_DataLog_0.parquet
20240423_13_36_19_segment_0,Normal_Source_Train,normal,spd1700,BckgF,imp23absu_mic_20240423_13_36_19_DataLog_0.parquet,ism330dhcx_acc_20240423_13_36_19_DataLog_0.parquet,ism330dhcx_gyro_20240423_13_36_19_DataLog_0.parquet
20240423_16_03_28_segment_0,Normal_Source_Train,normal,spd2800,BckgF,imp23absu_mic_20240423_16_03_28_DataLog_0.parquet,ism330dhcx_acc_20240423_16_03_28_DataLog_0.parquet,ism330dhcx_gyro_20240423_16_03_28_DataLog_0.parquet
20240423_14_33_16_segment_0,Normal_Source_Train,normal,spd1900,BckgA,imp23absu_mic_20240423_14_33_16_DataLog_0.parquet,ism330dhcx_acc_20240423_14_33_16_DataLog_0.parquet,ism330dhcx_gyro_20240423_14_33_16_DataLog_0.parquet
20240423_13_48_23_segment_0,Normal_Source_Train,normal,spd1700,BckgA,imp23absu_mic_20240423_13_48_23_DataLog_0.parquet,ism330dhcx_acc_20240423_13_48_23_DataLog_0.parquet,ism330dhcx_gyro_20240423_13_48_23_DataLog_0.parquet
20240423_14_59_43_segment_0,Normal_Source_Train,normal,spd2000,BckgD,imp23absu_mic_20240423_14_59_43_DataLog_0.parquet,ism330dhcx_acc_20240423_14_59_43_DataLog_0.parquet,ism330dhcx_gyro_20240423_14_59_43_DataLog_0.parquet
20240423_13_04_06_segment_0,Normal_Source_Train,normal,spd1500,BckgF,imp23absu_mic_20240423_13_04_06_DataLog_0.parquet,ism330dhcx_acc_20240423_13_04_06_DataLog_0.parquet,ism330dhcx_gyro_20240423_13_04_06_DataLog_0.parquet
20240423_14_37_43_segment_0,Normal_Source_Train,normal,spd1900,BckgA,imp23absu_mic_20240423_14_37_43_DataLog_0.parquet,ism330dhcx_acc_20240423_14_37_43_DataLog_0.parquet,ism330dhcx_gyro_20240423_14_37_43_DataLog_0.parquet
20240423_14_58_45_segment_0,Normal_Source_Train,normal,spd2000,BckgF,imp23absu_mic_20240423_14_58_45_DataLog_0.parquet,ism330dhcx_acc_20240423_14_58_45_DataLog_0.parquet,ism330dhcx_gyro_20240423_14_58_45_DataLog_0.parquet
20240423_13_08_17_segment_0,Normal_Source_Train,normal,spd1600,BckgF,imp23absu_mic_20240423_13_08_17_DataLog_0.parquet,ism330dhcx_acc_20240423_13_08_17_DataLog_0.parquet,ism330dhcx_gyro_20240423_13_08_17_DataLog_0.parquet
20240423_14_24_08_segment_0,Normal_Source_Train,normal,spd1800,BckgA,imp23absu_mic_20240423_14_24_08_DataLog_0.parquet,ism330dhcx_acc_20240423_14_24_08_DataLog_0.parquet,ism330dhcx_gyro_20240423_14_24_08_DataLog_0.parquet
20240423_16_31_16_segment_0,Normal_Source_Train,normal,spd3000,BckgF,imp23absu_mic_20240423_16_31_16_DataLog_0.parquet,ism330dhcx_acc_20240423_16_31_16_DataLog_0.parquet,ism330dhcx_gyro_20240423_16_31_16_DataLog_0.parquet
20240423_12_42_47_segment_0,Normal_Source_Train,normal,spd1500,BckgD,imp23absu_mic_20240423_12_42_47_DataLog_0.parquet,ism330dhcx_acc_20240423_12_42_47_DataLog_0.parquet,ism330dhcx_gyro_20240423_12_42_47_DataLog_0.parquet
20240423_16_25_00_segment_0,Normal_Source_Train,normal,spd3000,BckgF,imp23absu_mic_20240423_16_25_00_DataLog_0.parquet,ism330dhcx_acc_20240423_16_25_00_DataLog_0.parquet,ism330dhcx_gyro_20240423_16_25_00_DataLog_0.parquet
20240423_14_01_38_segment_0,Normal_Source_Train,normal,spd1800,BckgC,imp23absu_mic_20240423_14_01_38_DataLog_0.parquet,ism330dhcx_acc_20240423_14_01_38_DataLog_0.parquet,ism330dhcx_gyro_20240423_14_01_38_DataLog_0.parquet
20240423_15_49_11_segment_0,Normal_Source_Train,normal,spd2800,BckgA,imp23absu_mic_20240423_15_49_11_DataLog_0.parquet,ism330dhcx_acc_20240423_15_49_11_DataLog_0.parquet,ism330dhcx_gyro_20240423_15_49_11_DataLog_0.parquet
20240423_14_47_28_segment_0,Normal_Source_Train,normal,spd1900,BckgF,imp23absu_mic_20240423_14_47_28_DataLog_0.parquet,ism330dhcx_acc_20240423_14_47_28_DataLog_0.parquet,ism330dhcx_gyro_20240423_14_47_28_DataLog_0.parquet
20240423_12_48_08_segment_0,Normal_Source_Train,normal,spd1500,BckgF,imp23absu_mic_20240423_12_48_08_DataLog_0.parquet,ism330dhcx_acc_20240423_12_48_08_DataLog_0.parquet,ism330dhcx_gyro_20240423_12_48_08_DataLog_0.parquet
20240423_14_33_55_segment_0,Normal_Source_Train,normal,spd1900,BckgD,imp23absu_mic_20240423_14_33_55_DataLog_0.parquet,ism330dhcx_acc_20240423_14_33_55_DataLog_0.parquet,ism330dhcx_gyro_20240423_14_33_55_DataLog_0.parquet
20240423_13_38_17_segment_0,Normal_Source_Train,normal,spd1700,BckgA,imp23absu_mic_20240423_13_38_17_DataLog_0.parquet,ism330dhcx_acc_20240423_13_38_17_DataLog_0.parquet,ism330dhcx_gyro_20240423_13_38_17_DataLog_0.parquet
20240423_16_07_11_segment_0,Normal_Source_Train,normal,spd2800,BckgC,imp23absu_mic_20240423_16_07_11_DataLog_0.parquet,ism330dhcx_acc_20240423_16_07_11_DataLog_0.parquet,ism330dhcx_gyro_20240423_16_07_11_DataLog_0.parquet
20240423_14_17_00_segment_0,Normal_Source_Train,normal,spd1800,BckgA,imp23absu_mic_20240423_14_17_00_DataLog_0.parquet,ism330dhcx_acc_20240423_14_17_00_DataLog_0.parquet,ism330dhcx_gyro_20240423_14_17_00_DataLog_0.parquet
20240423_16_20_14_segment_0,Normal_Source_Train,normal,spd3000,BckgA,imp23absu_mic_20240423_16_20_14_DataLog_0.parquet,ism330dhcx_acc_20240423_16_20_14_DataLog_0.parquet,ism330dhcx_gyro_20240423_16_20_14_DataLog_0.parquet
20240423_15_05_03_segment_0,Normal_Source_Train,normal,spd2000,BckgA,imp23absu_mic_20240423_15_05_03_DataLog_0.parquet,ism330dhcx_acc_20240423_15_05_03_DataLog_0.parquet,ism330dhcx_gyro_20240423_15_05_03_DataLog_0.parquet
20240423_15_38_20_segment_0,Normal_Source_Train,normal,spd2400,BckgD,imp23absu_mic_20240423_15_38_20_DataLog_0.parquet,ism330dhcx_acc_20240423_15_38_20_DataLog_0.parquet,ism330dhcx_gyro_20240423_15_38_20_DataLog_0.parquet
20240423_15_49_01_segment_0,Normal_Source_Train,normal,spd2800,BckgF,imp23absu_mic_20240423_15_49_01_DataLog_0.parquet,ism330dhcx_acc_20240423_15_49_01_DataLog_0.parquet,ism330dhcx_gyro_20240423_15_49_01_DataLog_0.parquet
20240423_12_52_28_segment_0,Normal_Source_Train,normal,spd1500,BckgD,imp23absu_mic_20240423_12_52_28_DataLog_0.parquet,ism330dhcx_acc_20240423_12_52_28_DataLog_0.parquet,ism330dhcx_gyro_20240423_12_52_28_DataLog_0.parquet
20240423_16_05_05_segment_0,Normal_Source_Train,normal,spd2800,BckgD,imp23absu_mic_20240423_16_05_05_DataLog_0.parquet,ism330dhcx_acc_20240423_16_05_05_DataLog_0.parquet,ism330dhcx_gyro_20240423_16_05_05_DataLog_0.parquet
20240423_14_19_18_segment_0,Normal_Source_Train,normal,spd1800,BckgA,imp23absu_mic_20240423_14_19_18_DataLog_0.parquet,ism330dhcx_acc_20240423_14_19_18_DataLog_0.parquet,ism330dhcx_gyro_20240423_14_19_18_DataLog_0.parquet
20240423_13_25_44_segment_0,Normal_Source_Train,normal,spd1600,BckgD,imp23absu_mic_20240423_13_25_44_DataLog_0.parquet,ism330dhcx_acc_20240423_13_25_44_DataLog_0.parquet,ism330dhcx_gyro_20240423_13_25_44_DataLog_0.parquet
20240423_16_36_58_segment_0,Normal_Source_Train,normal,spd3000,BckgA,imp23absu_mic_20240423_16_36_58_DataLog_0.parquet,ism330dhcx_acc_20240423_16_36_58_DataLog_0.parquet,ism330dhcx_gyro_20240423_16_36_58_DataLog_0.parquet
20240423_12_43_06_segment_0,Normal_Source_Train,normal,spd1500,BckgA,imp23absu_mic_20240423_12_43_06_DataLog_0.parquet,ism330dhcx_acc_20240423_12_43_06_DataLog_0.parquet,ism330dhcx_gyro_20240423_12_43_06_DataLog_0.parquet
20240423_14_37_14_segment_0,Normal_Source_Train,normal,spd1900,BckgF,imp23absu_mic_20240423_14_37_14_DataLog_0.parquet,ism330dhcx_acc_20240423_14_37_14_DataLog_0.parquet,ism330dhcx_gyro_20240423_14_37_14_DataLog_0.parquet
20240423_13_40_45_segment_0,Normal_Source_Train,normal,spd1700,BckgA,imp23absu_mic_20240423_13_40_45_DataLog_0.parquet,ism330dhcx_acc_20240423_13_40_45_DataLog_0.parquet,ism330dhcx_gyro_20240423_13_40_45_DataLog_0.parquet
20240423_16_17_06_segment_0,Normal_Source_Train,normal,spd3000,BckgD,imp23absu_mic_20240423_16_17_06_DataLog_0.parquet,ism330dhcx_acc_20240423_16_17_06_DataLog_0.parquet,ism330dhcx_gyro_20240423_16_17_06_DataLog_0.parquet
20240423_16_35_41_segment_0,Normal_Source_Train,normal,spd3000,BckgF,imp23absu_mic_20240423_16_35_41_DataLog_0.parquet,ism330dhcx_acc_20240423_16_35_41_DataLog_0.parquet,ism330dhcx_gyro_20240423_16_35_41_DataLog_0.parquet
20240423_16_35_12_segment_0,Normal_Source_Train,normal,spd3000,BckgD,imp23absu_mic_20240423_16_35_12_DataLog_0.parquet,ism330dhcx_acc_20240423_16_35_12_DataLog_0.parquet,ism330dhcx_gyro_20240423_16_35_12_DataLog_0.parquet
20240423_14_13_12_segment_0,Normal_Source_Train,normal,spd1800,BckgF,imp23absu_mic_20240423_14_13_12_DataLog_0.parquet,ism330dhcx_acc_20240423_14_13_12_DataLog_0.parquet,ism330dhcx_gyro_20240423_14_13_12_DataLog_0.parquet
20240423_13_36_28_segment_0,Normal_Source_Train,normal,spd1700,BckgF,imp23absu_mic_20240423_13_36_28_DataLog_0.parquet,ism330dhcx_acc_20240423_13_36_28_DataLog_0.parquet,ism330dhcx_gyro_20240423_13_36_28_DataLog_0.parquet
20240423_14_48_58_segment_0,Normal_Source_Train,normal,spd1900,BckgF,imp23absu_mic_20240423_14_48_58_DataLog_0.parquet,ism330dhcx_acc_20240423_14_48_58_DataLog_0.parquet,ism330dhcx_gyro_20240423_14_48_58_DataLog_0.parquet
20240423_13_24_44_segment_0,Normal_Source_Train,normal,spd1600,BckgF,imp23absu_mic_20240423_13_24_44_DataLog_0.parquet,ism330dhcx_acc_20240423_13_24_44_DataLog_0.parquet,ism330dhcx_gyro_20240423_13_24_44_DataLog_0.parquet
20240423_15_21_39_segment_0,Normal_Source_Train,normal,spd2400,BckgD,imp23absu_mic_20240423_15_21_39_DataLog_0.parquet,ism330dhcx_acc_20240423_15_21_39_DataLog_0.parquet,ism330dhcx_gyro_20240423_15_21_39_DataLog_0.parquet
20240423_13_09_56_segment_0,Normal_Source_Train,normal,spd1600,BckgD,imp23absu_mic_20240423_13_09_56_DataLog_0.parquet,ism330dhcx_acc_20240423_13_09_56_DataLog_0.parquet,ism330dhcx_gyro_20240423_13_09_56_DataLog_0.parquet
